date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2001-04-01,USA,USD,United States,2.24,1,2.24,0,-0.00955,-0.21285,-0.05524,0.87345,36312.782,2.39443643318135,0,-0.17824,-0.34078,-0.09695,0.18496
2001-04-01,ZAF,ZAR,South Africa,9.7,8.13,1.19311193111931,-0.46736,-0.47245,-0.58073,-0.49678,-0.00212,5416.45601649485,1.60710993749678,-0.20642,-0.34787,-0.47686,-0.28336,-0.05964
2002-04-01,AUS,AUD,Australia,3,1.86,1.61290322580645,-0.31366,-0.32125,-0.44103,-0.1997,0.27189,29507.7225166667,2.32056082590587,-0.2714,-0.36776,-0.47099,-0.14778,-0.01244
2002-04-01,BRA,BRL,Brazil,3.6,2.34,1.53846153846154,-0.34534,-0.35258,-0.46683,-0.23664,0.21319,4994.30943055556,1.85934342843213,-0.13264,-0.24735,-0.37024,0.01452,0.17564
2002-04-01,CAN,CAD,Canada,3.33,1.57,2.12101910828025,-0.09744,-0.10743,-0.26494,0.05241,0.67258,26079.3303603604,2.25605597289759,-0.01447,-0.14482,-0.28445,0.15273,0.3358
2002-04-01,CHE,CHF,Switzerland,6.3,1.66,3.79518072289157,0.61497,0.5971,0.31526,0.8831,1.99277,25072.9993571429,2.23712195646052,0.77835,0.54315,0.29118,1.08007,1.4104
2002-04-01,CHL,CLP,Chile,1400,655,2.13740458015267,-0.09047,-0.10053,-0.25926,0.06054,0.6855,4911.21778346429,1.85778006746364,0.20605,0.04654,-0.12434,0.41067,0.63471
2002-04-01,CHN,CNY,China,10.5,8.28,1.26811594202899,-0.46038,-0.46635,-0.56052,-0.37078,0,1935.7945952381,1.80179777995288,-0.26222,-0.3598,-0.46433,-0.13705,0
2002-04-01,CZE,CZK,Czech Republic,56.28,34,1.65529411764706,-0.29562,-0.30342,-0.42634,-0.17867,0.30532,10525.0618319119,1.96340397763695,-0.11623,-0.23312,-0.35833,0.03371,0.19788
2002-04-01,DNK,DKK,Denmark,24.75,8.38,2.95346062052506,0.25679,0.24288,0.02355,0.46546,1.32901,24344.8382929293,2.22342167940001,0.39246,0.2083,0.01101,0.62871,0.88737
2002-04-01,EUZ,EUR,Euro area,2.67,1.123595506,2.37629999919206,0.01119,0,-0.17647,0.17908,0.87388,21056.5762697324,2.16155336072798,0.15241,0,-0.16328,0.34794,0.562
2002-04-01,GBR,GBP,Britain,1.99,0.689655172,2.8855000017313,0.22787,0.21428,0,0.43174,1.27542,22896.4184422111,2.19616980583794,0.3773,0.19514,0,0.61098,0.86682
