date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2003-04-01,THA,THB,Thailand,59,42.7,1.38173302107728,3754.72877084746,1.86361284337671,-0.16999,-0.41623,-0.43126,-0.05855,0.1329
2003-04-01,TUR,TRY,Turkey,3750000,1600500,2.34301780693533,0.003577369392,1.76584203397512,0.48539,0.04471,0.01781,0.68482,1.02744
2003-04-01,USA,USD,United States,2.46,1,2.46,37945.761,2.75392697372287,0,-0.29668,-0.31479,0.13426,0.36492
2004-05-01,AUS,AUD,Australia,3.25,1.43,2.27272727272727,31833.16012,2.69225012461925,-0.02416,-0.35943,-0.34684,0.03406,0.38535
2004-05-01,BRA,BRL,Brazil,5.4,3.18,1.69811320754717,4455.53008333333,2.10290622839573,-0.06654,-0.38726,-0.37521,-0.01086,0.32518
2004-05-01,GBR,GBP,Britain,1.88,0.558659218,3.36519999925966,27721.6613617021,2.60374404522931,0.49403,-0.01928,0,0.58316,1.121
2004-05-01,CAN,CAD,Canada,3.19,1.37,2.32846715328467,30743.2700219436,2.66878863156876,0.00856,-0.33795,-0.32494,0.06873,0.43181
2004-05-01,CHL,CLP,Chile,1400,641,2.18408736349454,5885.48632471429,2.13368814712265,0.18328,-0.22327,-0.208,0.25387,0.67984
2004-05-01,CHN,CNY,China,10.4,8.28,1.256038647343,2520.5525875,2.06125298174976,-0.2956,-0.53761,-0.52852,-0.25358,0
2004-05-01,COL,COP,Colombia,6500,2769.83,2.34671441929649,2529.77323354,2.06145146976555,0.31594,-0.13619,-0.11921,0.39444,0.86817
2004-05-01,CZE,CZK,Czech Republic,56.42,26.5,2.12905660377359,12127.1070599078,2.26804824614883,0.08513,-0.28769,-0.27369,0.14987,0.54051
2004-05-01,DNK,DKK,Denmark,27.75,6.22,4.46141479099679,23754.7350944144,2.51835010209897,1.04788,0.34428,0.3707,1.17005,1.90727
2004-05-01,EGY,EGP,Egypt,10,6.19,1.61550888529887,1594.570744,2.041319855809,-0.08516,-0.39948,-0.38767,-0.03058,0.29875
2004-05-01,EUZ,EUR,Euro area,2.74,0.833333333,3.2880000013152,22668.2872830892,2.49496270935122,0.5234,0,0.01966,0.61429,1.1627
2004-05-01,HKG,HKD,Hong Kong,12,7.79,1.54043645699615,38240.2011983333,2.83017114069376,-0.37081,-0.58699,-0.57887,-0.33328,-0.10678
